"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","Provide a 404 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-09T20:51:37.090Z[Europe/London]","0.0","5.05"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-09T20:51:42.179Z[Europe/London]","0.0","0.81"
